SimpleID INATTENTIVE_RESP Q_TotalDurationSecs Gender Vehicles HomePark ModelYear Hybrid BuyLease UsedPurchaseYear VehPrice VehSize KnowMPG VehMPG Age Education License Occupation CommuteFullLength DriveCommute WorkParkFee HH_Head Income Kids Adolescent Adults Workers Zipcode HomeType scenario_num year scenario_year in_year choice gas_price ele_price gasveh_price gasveh_mpg gasveh_range gasveh_size hev_price hev_mpg hev_range hev_size bev_price bev_mpg bev_range bev_size curveh_price curveh_mpg curveh_range curveh_size curveh_model_year
36 1 694 2 2 3 2009 2 1 -99 17000 1 1 36 5 5 1 2 28 1 0 1 2 1 1 1 2 21222 2 0 2014 0 0 1 3.5 4.5 35000 14 0 2 43000 23 0 2 28000 120 70 0 17000 36 -99 1 2009
36 1 694 2 2 3 2009 2 1 -99 17000 1 1 36 5 5 1 2 28 1 0 1 2 1 1 1 2 21222 2 1 2014 0 1 1 3.5 4.5 30000 32 0 1 28000 52 0 0 32000 110 60 1 17000 36 -99 1 2009
36 1 694 2 2 3 2009 2 1 -99 17000 1 1 36 5 5 1 2 28 1 0 1 2 1 1 1 2 21222 2 2 2015 1 0 1 3.8 4.67 26000 34 0 1 21000 50 0 0 20000 93 80 1 17000 36 -99 1 2009
36 1 694 2 2 3 2009 2 1 -99 17000 1 1 36 5 5 1 2 28 1 0 1 2 1 1 1 2 21222 2 3 2015 1 1 1 3.8 4.67 22000 26 0 1 28000 28 0 2 28000 133 90 0 17000 36 -99 1 2009
36 1 694 2 2 3 2009 2 1 -99 17000 1 1 36 5 5 1 2 28 1 0 1 2 1 1 1 2 21222 2 4 2016 2 0 1 4.2 4.71 22000 24 0 1 28000 52 0 0 21000 106 110 0 17000 36 -99 1 2009
36 1 694 2 2 3 2009 2 1 -99 17000 1 1 36 5 5 1 2 28 1 0 1 2 1 1 1 2 21222 2 5 2016 2 1 1 4.2 4.71 18000 28 0 1 24000 56 0 0 20000 96 120 1 17000 36 -99 1 2009
36 1 694 2 2 3 2009 2 1 -99 17000 1 1 36 5 5 1 2 28 1 0 1 2 1 1 1 2 21222 2 6 2017 3 0 1 4.5 4.86 16000 34 0 0 24000 46 0 1 24000 99 75 1 17000 36 -99 1 2009
36 1 694 2 2 3 2009 2 1 -99 17000 1 1 36 5 5 1 2 28 1 0 1 2 1 1 1 2 21222 2 7 2017 3 1 1 4.5 4.86 30000 34 0 1 18000 58 0 0 24000 89 90 1 17000 36 -99 0 2009
36 1 694 2 2 3 2009 2 1 -99 17000 1 1 36 5 5 1 2 28 1 0 1 2 1 1 1 2 21222 2 8 2018 4 0 1 4.62 4.97 13000 32 0 0 24000 58 0 1 24000 132 105 0 17000 36 -99 0 2009
36 1 694 2 2 3 2009 2 1 -99 17000 1 1 36 5 5 1 2 28 1 0 1 2 1 1 1 2 21222 2 9 2018 4 1 1 4.62 4.97 18000 28 0 1 20000 43 0 1 18000 112 80 0 17000 36 -99 0 2009
